,        Белгородская область,        Брянская область,        Владимирская область,        Воронежская область,        Ивановская область,        Калужская область,        Костромская область,        Курская область,        Липецкая область,        Московская область,        Орловская область,        Рязанская область,        Смоленская область,        Тамбовская область,        Тверская область,        Тульская область,        Ярославская область,        Город Москва столица Российской Федерации город федерального значения,        Республика Карелия,        Республика Коми,        Архангельская область,        Вологодская область,        Калининградская область,        Ленинградская область,        Мурманская область,        Новгородская область,        Псковская область,        Город Санкт-Петербург город федерального значения,        Республика Адыгея (Адыгея),        Республика Калмыкия,        Республика Крым,        Краснодарский край,        Астраханская область,        Волгоградская область,        Ростовская область,        Город федерального значения Севастополь,        Республика Дагестан,        Республика Ингушетия*,        Кабардино-Балкарская Республика,        Карачаево-Черкесская Республика,        Республика Северная Осетия-Алания,        Чеченская Республика*,        Ставропольский край,        Республика Башкортостан,        Республика Марий Эл,        Республика Мордовия,        Республика Татарстан (Татарстан),        Удмуртская Республика,        Чувашская Республика - Чувашия,        Пермский край,        Кировская область,        Нижегородская область,        Оренбургская область,        Пензенская область,        Самарская область,        Саратовская область,        Ульяновская область,        Курганская область,        Свердловская область,        Тюменская область,        Челябинская область,        Республика Алтай,        Республика Бурятия,        Республика Тыва,        Республика Хакасия,        Алтайский край,        Забайкальский край,        Красноярский край,        Иркутская область,        Кемеровская область,        Новосибирская область,        Омская область,        Томская область,        Республика Саха (Якутия),        Камчатский край,        Приморский край,        Хабаровский край,        Амурская область,        Магаданская область,        Сахалинская область,        Еврейская автономная область,        Чукотский автономный округ
2010-Oct,1377,1090,1320,2002,886,978,639,1093,1058,6732,716,1002,843,843,1184,1249,1130,10736,647,883,1296,1226,909,1187,844,612,575,4701,525,368,,5531,1252,2451,4040,,4536,989,1075,487,872,3182,2859,4676,716,675,4115,1801,1426,2951,1192,2985,2488,1240,3162,2331,1140,961,4574,4553,3649,346,1333,687,630,2465,1431,3225,3059,2991,2842,2172,1131,1351,368,1919,1459,938,125,486,202,54
2010-Nov,1290,1140,1310,2018,895,909,648,982,1089,6361,685,951,846,870,1234,1257,1141,10244,615,975,1293,1195,823,1217,739,624,579,4238,519,378,,5570,1195,2499,3917,,4719,888,1092,500,814,3208,2752,4633,771,636,4186,1834,1419,3182,1323,3122,2422,1219,3079,2249,1148,955,4734,4507,3939,339,1402,700,636,2537,1461,3113,3024,2894,2939,2105,1128,1363,317,1930,1458,916,158,484,191,59
2010-Dec,1444,1163,1258,2040,979,933,744,1079,1045,6428,750,1022,865,861,1233,1212,1230,10558,676,987,1334,1331,861,1250,839,711,588,5151,516,381,,5470,1220,2498,4007,,4852,968,1116,580,904,3071,2851,5149,688,720,4307,1852,1344,3155,1379,3054,2351,1181,3228,2431,1219,949,4801,4647,3970,354,1406,703,692,2585,1479,3257,3015,3076,2856,2240,1171,1404,348,1993,1522,933,168,553,192,88
2011-Jan,1179,1017,1141,1703,803,795,594,953,930,5637,677,865,806,829,1096,1089,1207,9242,558,887,1119,1160,860,1135,708,487,540,4139,408,318,,4851,1053,2166,3541,,4033,568,991,457,776,2826,2435,4068,670,653,3702,1614,1175,2925,1214,2782,2081,1074,2644,1871,908,894,4453,4081,3280,316,1237,645,616,2340,1205,2768,2911,2605,2547,1868,1017,1249,311,1608,1397,842,135,404,209,56
2011-Feb,1220,1049,1162,1728,818,791,584,956,905,5705,599,915,786,748,1104,1083,1052,9420,532,869,1091,1160,751,1110,653,534,522,4238,431,314,,4842,1047,2133,3377,,4014,1314,950,465,761,2509,2526,4049,637,592,3898,1690,1256,2745,1112,2637,2112,1013,2706,1965,1057,852,4273,4031,3403,325,1158,589,613,2392,1352,2819,2882,2655,2660,2045,1027,1298,281,1761,1303,810,132,437,207,51
2011-Mar,1544,1148,1286,2185,1000,960,720,1139,1119,6332,764,1093,924,888,1263,1342,1182,10947,681,1072,1313,1355,983,1207,855,599,627,4915,495,378,,5387,1205,2533,4029,,4400,885,1052,574,837,3140,2784,5195,791,704,4260,1938,1311,3324,1389,3236,2564,1189,3234,2494,1211,1057,5240,4961,4450,445,1485,745,740,2668,1406,3574,3257,3178,3118,2298,1254,1499,347,2172,1597,988,176,520,196,72
2011-Apr,1262,993,1203,1671,817,792,579,947,904,5582,527,805,739,721,1113,1058,1036,9536,606,912,1147,1211,810,1072,671,524,494,4437,381,311,,4354,1018,1989,3229,,3985,877,929,488,790,2745,2303,4285,682,551,3833,1614,1153,2904,1219,2590,2137,1050,2784,1933,1019,887,4430,4365,3605,422,1276,618,562,2387,1472,2921,2918,2706,2683,2031,1069,1303,322,1771,1239,795,134,490,168,58
2011-May,1249,1012,1123,1691,746,791,646,981,895,5661,614,811,731,756,1113,1120,1089,9192,594,921,1160,1152,810,1154,767,528,524,3928,380,309,,4502,1050,2160,3303,,3789,996,892,463,713,2833,2407,4333,698,561,3903,1633,1250,2939,1260,2637,2040,1057,2733,1916,1024,870,4868,4616,3829,349,1375,731,663,2473,1469,3198,3147,2832,2993,1991,1148,1325,351,1746,1305,929,141,448,176,51
2011-Jun,1442,1162,1310,1862,971,911,684,1099,1082,6225,715,985,807,826,1210,1219,1176,10763,694,985,1205,1253,922,1293,736,600,585,4935,445,346,,4728,1215,2369,3720,,3841,854,1006,503,841,2862,2585,4680,765,632,4046,1922,1387,3066,1373,3064,2256,1095,2894,2285,1185,971,4811,4697,4006,400,1375,678,681,2621,1422,3264,3125,3085,2998,2316,1212,1240,333,1950,1475,906,145,511,181,64
2011-Jul,1462,1267,1467,2136,1055,985,760,1151,1076,7075,707,1068,918,894,1381,1241,1262,11510,666,989,1223,1371,946,1315,748,636,593,5129,464,365,,5584,1302,2599,4222,,4140,970,1092,546,911,3160,2828,4763,795,680,4452,1815,1484,3007,1278,3116,2486,1177,3438,2307,1201,976,4878,4549,4021,406,1393,732,677,2479,1389,3075,3042,3002,2772,2398,1107,1364,334,1992,1495,999,155,501,226,46
2011-Aug,1654,1357,1575,2453,973,1071,796,1285,1269,7606,757,1122,1044,998,1441,1478,1357,12271,813,1130,1451,1495,1177,1506,811,736,713,5204,536,408,,6383,1421,2975,4664,,5139,512,1252,545,1054,3393,3326,5227,903,784,4571,2173,1592,3611,1582,3689,2641,1410,3612,2654,1416,1138,5700,5128,4516,440,1561,793,796,2987,1604,3624,3500,3358,3320,2561,1320,1451,379,2254,1641,1067,166,561,235,50
2011-Sep,1472,1240,1427,2126,1026,1005,728,1145,1176,6405,751,1075,911,900,1307,1254,1251,10756,687,959,1340,1388,993,1299,796,605,632,4990,502,376,,5920,1237,2469,4263,,5622,1045,1274,576,913,3818,3052,5108,761,721,4543,1864,1378,3115,1376,3193,2452,1245,3080,2310,1239,1026,4694,4661,4109,407,1430,732,666,2610,1467,3335,3098,2958,3057,2363,1159,1419,336,2047,1465,940,153,513,235,76
2011-Oct,1450,1255,1303,1955,901,934,701,1093,1054,6785,724,953,855,867,1242,1262,1151,10720,653,1005,1316,1381,956,1308,768,544,582,5021,461,344,,5613,1271,2582,3912,,5269,1002,1180,556,878,3586,2827,4505,849,631,4589,1786,1427,3081,1379,3208,2398,1239,3156,2326,1198,966,4881,4606,3895,367,1383,752,711,2602,1477,3142,3073,2839,2848,2142,1070,1403,333,1936,1480,937,178,514,209,53
2011-Nov,1524,1151,1274,2267,917,957,685,1149,1043,6660,667,1057,863,812,1236,1246,1215,11226,616,952,1243,1232,963,1274,800,624,618,4935,516,371,,6002,1353,2585,4270,,4920,890,1174,558,1027,3246,3058,4855,767,709,4376,1871,1387,3062,1350,3094,2500,1222,3334,2428,1204,981,5032,4695,4140,400,1337,720,645,2561,1402,3218,3153,2907,2856,2372,1107,1403,332,2094,1477,976,150,481,202,52
2011-Dec,1436,1155,1373,2050,1008,962,651,1066,1092,6814,735,1026,845,817,1308,1196,1179,11072,611,1034,1286,1367,897,1171,778,805,605,5133,492,354,,5698,1206,2406,3955,,5275,962,1056,558,874,3217,2730,4738,748,678,4651,1903,1331,3121,1292,3069,2388,1177,3206,2342,1273,929,4794,4728,4046,396,1449,693,682,2619,1421,3224,3131,2909,3092,2325,1278,1464,330,1940,1478,999,136,459,236,63
2012-Jan,1378,1130,1269,1858,862,956,666,949,952,5967,668,884,802,802,1185,1181,1168,10033,617,990,1141,1211,888,1193,722,420,576,4386,441,344,,5431,1158,2361,3681,,4327,720,1004,445,762,3007,2547,4600,817,636,4074,1765,1332,2990,1261,3083,2411,1104,2921,2115,1027,1053,4732,4552,3689,374,1318,673,657,2474,1379,3124,2952,2810,2876,2272,1027,1257,338,1882,1350,923,133,497,188,42
2012-Feb,1436,1213,1325,2023,967,973,699,1112,1047,6382,700,1012,763,871,1185,1268,1200,10534,609,1058,1223,1377,904,1221,748,596,591,4595,460,330,,5466,1195,2344,3963,,3927,903,1131,476,911,2937,2803,4671,805,643,4373,1914,1360,3197,1413,3060,2467,1127,2962,2232,1197,1021,4943,4590,4144,383,1292,696,711,2608,1400,3307,3049,3048,3065,2368,1167,1336,315,2012,1369,967,148,452,185,69
2012-Mar,1438,1192,1422,2034,960,961,724,1119,1105,6953,754,1028,883,864,1299,1229,1241,11234,689,985,1283,1420,946,1266,762,663,626,5482,470,364,,5393,1316,2471,3925,,5060,793,1068,560,896,2778,2844,4948,796,728,4489,1969,1398,3215,1368,3188,2419,1246,3353,2419,1178,975,4970,4966,4229,408,1460,718,707,2684,1393,3408,3214,3237,3022,2378,1118,1356,326,2008,1551,1014,165,538,194,70
2012-Apr,1231,1061,1228,1931,828,851,614,980,996,6267,639,872,724,779,1189,1150,1115,9615,650,963,1174,1340,855,1266,645,535,518,4564,395,324,,4692,1027,2176,3574,,4270,789,1014,499,786,2535,2544,4339,761,585,4110,1785,1253,3038,1311,2920,2191,1051,2658,1826,1004,994,4840,4464,3819,380,1260,659,642,2509,1371,3142,3024,2811,2744,2256,1080,1276,334,1895,1358,868,141,436,178,45
2012-May,1522,1220,1368,2160,1016,995,697,1221,1187,6887,742,1061,901,857,1288,1312,1283,11601,673,1081,1319,1360,1026,1307,783,619,652,5216,430,361,,5346,1258,2488,3995,,4209,655,1036,536,806,2681,2543,5066,831,633,4518,2035,1485,3386,1431,3421,2383,1214,3072,2637,1258,1035,5423,5479,4270,430,1515,748,712,3029,1586,3669,3410,3309,3339,2647,1282,1448,376,2036,1450,918,180,542,199,60
2012-Jun,1424,1127,1427,2019,1011,987,688,1063,1039,7175,672,1014,821,839,1295,1231,1224,11413,628,977,1347,1336,954,1246,789,623,529,5527,450,383,,5330,1141,2402,4016,,4057,794,1094,489,876,2541,2740,4676,787,690,4615,1814,1464,3039,1324,3038,2508,1244,3135,2372,1198,996,4857,4808,4020,372,1306,604,661,2738,1472,3292,3173,3140,2853,2425,1172,1338,343,1821,1399,1013,153,487,211,63
2012-Jul,1716,1280,1474,2359,1065,1130,811,1219,1297,7359,793,1059,1040,983,1414,1460,1408,12195,771,1051,1343,1528,1156,1451,787,686,681,5526,546,380,,6485,1450,2750,4525,,4920,175,1315,604,897,3219,3204,5188,875,775,4911,2064,1553,3504,1666,3711,2584,1301,3548,2595,1352,1135,5576,5352,4314,405,1505,734,794,2999,1533,3841,3301,3260,3395,2582,1297,1554,360,2187,1590,1042,179,584,238,53
2012-Aug,1765,1354,1555,2445,1072,1146,791,1197,1324,7989,774,1193,957,940,1462,1476,1453,12552,681,1127,1427,1582,1138,1411,780,701,689,5794,531,418,,6708,1399,2934,4778,,4960,1345,1333,601,1127,2916,3459,5340,932,783,4951,2061,1677,3416,1473,3614,2766,1438,3740,2671,1328,1194,5446,5315,4731,430,1506,687,781,2951,1646,3786,3591,3608,3314,2764,1389,1484,379,2238,1818,1119,153,619,231,53
2012-Sep,1429,1123,1321,2075,848,941,700,1095,1052,6826,720,1011,819,818,1219,1352,1251,10908,618,1011,1193,1296,876,1247,805,588,610,5329,492,328,,5948,1353,2473,4169,,5209,1033,1253,508,860,3082,2961,4860,813,660,4871,1848,1429,3183,1324,3065,2492,1200,3408,2349,1157,981,4819,4923,3924,344,1379,616,724,2559,1391,3195,3099,2832,2879,2358,1176,1412,338,2018,1598,932,161,517,208,77
2012-Oct,1650,1364,1464,2465,1055,1045,746,1200,1311,7628,827,1113,906,945,1446,1465,1407,12237,769,1158,1470,1516,1102,1542,905,727,676,5485,506,386,,7042,1548,2856,4898,,5102,912,1265,602,1037,3069,3416,5521,934,770,5136,2178,1678,3649,1691,3613,2756,1486,3711,2664,1409,1127,5904,5394,4714,445,1575,805,820,3078,1669,3785,3513,3488,3674,2633,1272,1555,431,2340,1773,1118,204,590,229,66
2012-Nov,1512,1208,1291,2092,1027,946,662,1130,1222,7121,693,1118,879,903,1261,1227,1194,11397,662,983,1288,1374,935,1226,769,607,570,5275,507,330,,5664,1254,2563,4308,,4890,863,1209,590,915,2819,3042,4920,815,640,4728,1891,1378,3184,1325,3061,2505,1261,3252,2326,1256,953,4943,4910,4053,342,1391,694,653,2527,1442,3263,3112,3107,3038,2448,1151,1440,292,2045,1521,941,151,552,175,60
2012-Dec,1412,1104,1301,1913,870,904,686,1033,1014,6828,668,986,794,793,1233,1148,1200,10934,613,986,1262,1338,973,1235,730,715,605,5164,428,309,,5526,1205,2434,3883,,5108,832,999,522,796,2472,2665,4868,675,625,4562,1837,1400,3046,1320,3107,2254,1105,3192,2158,1154,936,4998,4915,3978,389,1459,639,641,2539,1424,3286,3078,2974,3137,2344,1253,1452,326,2028,1547,878,149,502,209,61
2013-Jan,1542,1179,1247,2085,965,950,707,1160,1117,6532,757,1034,817,863,1296,1208,1273,10765,659,1105,1247,1426,1051,1267,749,521,591,4984,530,362,,5933,1352,2566,4220,,4598,858,1154,588,974,3288,3080,4884,836,686,4732,1958,1442,3341,1435,3197,2600,1222,3152,2401,1254,1067,5305,5149,4297,368,1375,690,719,2787,1487,3551,3174,3120,3185,2471,1104,1446,358,2136,1507,972,150,493,243,36
2013-Feb,1326,993,1188,1981,858,873,665,1029,1025,6349,616,939,763,762,1188,1191,1151,9848,589,991,1145,1184,970,1191,671,536,518,4752,430,306,,5251,1088,2280,3664,,4247,793,1010,519,915,2727,2660,4377,786,631,4310,1639,1316,2840,1293,2955,2261,1060,3102,2126,1105,967,4698,4500,3708,320,1286,631,653,2495,1284,3015,2892,2814,2930,2154,1106,1280,310,1839,1422,857,153,477,160,39
2013-Mar,1337,1005,1279,1895,870,934,614,975,1045,6546,617,952,822,793,1199,1208,1135,11118,579,976,1166,1288,948,1165,745,594,547,5139,426,322,,5136,1170,2297,3743,,4279,708,1002,486,835,2433,2628,4615,744,636,4244,1706,1350,2954,1278,2938,2384,1168,3202,2105,1063,956,4674,4453,3683,351,1288,638,666,2477,1369,3055,3071,2896,2880,2316,1108,1240,324,1916,1560,919,155,504,160,60
2013-Apr,1304,1142,1265,1977,1022,935,670,1006,1045,6660,729,936,847,832,1265,1214,1313,10946,633,1096,1327,1432,958,1329,779,638,644,5226,387,318,,5129,1103,2233,3790,,4353,784,1101,483,801,2410,2688,4894,851,660,4646,1852,1391,3134,1406,3137,2229,1163,3100,2263,1184,997,5363,4871,4026,405,1433,680,698,2578,1555,3595,3260,3072,3112,2203,1274,1381,335,2050,1465,912,183,549,203,53
2013-May,1465,1153,1288,2001,932,1022,682,1117,1034,6926,674,1124,858,847,1188,1175,1244,11343,605,1025,1258,1311,948,1268,765,616,636,5264,417,321,,5186,1190,2442,3827,,4219,648,1046,522,829,2597,2798,4734,791,685,4673,1755,1506,3168,1412,3039,2286,1104,3118,2198,1273,986,5025,4941,3880,372,1397,716,686,2596,1460,3354,3115,3029,2937,2402,1113,1307,319,2008,1411,970,132,536,183,68
2013-Jun,1365,1122,1267,1878,916,922,695,1048,1024,7050,684,992,826,759,1194,1175,1236,11236,574,987,1254,1379,920,1168,777,582,540,5509,397,298,,5410,1090,2193,3681,,4000,681,1017,511,838,2443,2636,4621,811,624,4572,1760,1335,3134,1302,3060,2429,1116,3155,2232,1153,1030,5172,4770,3866,320,1400,637,645,2569,1343,3275,3000,3014,3030,2344,1187,1263,369,1857,1432,819,161,492,173,54
2013-Jul,1836,1311,1496,2500,1145,1139,834,1223,1309,8044,852,1166,965,1075,1426,1522,1550,12776,727,1202,1430,1461,1053,1473,849,752,715,5825,543,413,,6858,1456,2872,4812,,4756,767,1280,594,1024,3180,3483,5784,961,767,5450,2219,1721,3645,1710,3870,2921,1469,3844,2902,1483,1201,6065,5588,4796,403,1667,721,847,3297,1671,3831,3574,3632,3865,2699,1390,1577,368,2317,1807,1095,175,610,213,58
2013-Aug,1678,1247,1399,2185,1060,1037,766,1112,1128,7879,726,1107,930,963,1318,1320,1321,12243,660,1029,1324,1468,1073,1371,733,669,622,6047,538,355,,6555,1292,2872,4743,,4974,913,1287,606,1045,2880,3202,5216,913,756,4881,1904,1513,3353,1520,3396,2718,1264,3637,2630,1339,1082,5278,5303,4387,410,1500,706,684,2828,1537,3739,3288,3336,3470,2724,1325,1462,330,2167,1636,1051,172,549,222,60
2013-Sep,1470,1226,1309,2000,911,948,691,1042,1067,6853,725,1041,898,828,1194,1209,1288,10446,655,1018,1324,1354,947,1337,730,561,556,5050,473,358,,5709,1206,2377,4095,,5066,901,1151,512,911,2927,2954,4827,872,635,4690,1888,1444,3423,1501,3267,2379,1146,3161,2272,1200,1023,5269,4995,4040,378,1395,677,673,2721,1441,3353,3089,3031,3207,2323,1332,1438,371,1982,1522,990,130,533,211,52
2013-Oct,1710,1250,1452,2440,1171,1096,727,1299,1286,8233,834,1154,950,981,1487,1379,1410,12833,703,1145,1369,1501,1166,1446,910,713,696,6001,570,417,,7249,1609,2763,4973,,5409,842,1262,679,1067,3038,3473,5642,926,798,5144,2080,1528,3530,1553,3751,2821,1472,3731,2863,1352,1193,5673,5731,4908,406,1614,724,762,3015,1554,3894,3428,3425,3607,2799,1316,1654,392,2433,1861,1076,175,592,191,66
2013-Nov,1393,1070,1248,2039,966,952,649,983,980,7080,660,964,787,765,1141,1227,1133,11273,555,933,1152,1360,954,1247,741,550,612,5467,453,356,,5980,1258,2345,4157,,5000,853,1050,538,822,2743,2946,4738,762,712,4438,1626,1345,2978,1257,2977,2459,1117,3217,2279,1156,877,4806,4744,3762,341,1341,631,618,2460,1311,3104,3004,2964,2941,2344,1140,1284,368,1883,1504,882,150,502,193,65
2013-Dec,1457,1157,1339,2000,953,990,684,1083,1107,7234,730,952,883,840,1198,1282,1318,11194,664,986,1299,1379,981,1378,752,757,595,5110,473,312,,5849,1228,2604,4035,,4882,819,995,493,802,2695,2856,5052,847,676,4737,1845,1463,3254,1474,3316,2401,1295,3141,2462,1236,1017,5228,4955,3972,353,1449,709,725,2638,1460,3488,2981,3006,3324,2417,1328,1421,340,1997,1611,940,167,565,213,56
2014-Jan,1475,1132,1280,2017,989,964,699,1076,1088,6775,651,1052,877,856,1196,1163,1157,10607,641,978,1165,1219,972,1176,755,436,586,4881,440,348,,6003,1325,2255,4077,,4500,783,1161,590,925,2621,2949,4974,819,697,4767,1764,1455,3116,1258,3133,2533,1207,3197,2258,1262,1008,4776,4896,4071,417,1349,641,680,2529,1385,3318,3125,3088,3090,2373,1069,1323,343,2188,1497,999,154,510,185,36
2014-Feb,1316,1002,1194,1950,919,910,683,1037,1046,6841,674,910,755,744,1169,1146,1135,10135,579,938,1128,1220,1006,1225,665,500,540,4946,421,316,,5616,1216,2361,4182,,4757,817,1034,497,812,2919,2765,4763,857,652,4154,1778,1288,3075,1328,3071,2395,1144,3110,2253,1153,932,5070,4582,3772,381,1338,622,634,2509,1221,3212,2837,2802,2919,2307,1068,1389,350,1953,1475,853,138,527,190,54
2014-Mar,1324,1027,1251,1826,899,905,665,1023,987,6653,652,893,777,847,1085,1142,1248,10649,609,1004,1250,1336,909,1197,722,541,571,5288,387,289,,5336,1196,2254,3795,,4438,727,974,549,842,2588,2661,4733,821,638,4486,1804,1368,3397,1475,3114,2251,1127,3024,2199,1137,935,5263,4855,3947,389,1488,659,650,2725,1524,3436,3019,2934,3139,2340,1260,1363,365,1918,1462,891,148,543,197,59
2014-Apr,1412,1101,1201,2138,1020,971,641,1132,1096,7360,678,1014,833,854,1216,1229,1247,11442,673,1051,1255,1422,1028,1340,824,595,590,5401,444,334,,5703,1215,2438,4057,,4585,762,1083,512,929,2417,2968,5272,827,699,4759,1824,1431,3175,1411,3074,2388,1202,3386,2382,1287,935,5328,5361,4385,387,1320,680,725,2662,1427,3482,3183,3108,3243,2562,1194,1433,348,2141,1584,970,171,599,177,82
2014-May,1474,1111,1288,2157,954,1035,638,1047,1101,7650,739,1050,852,859,1205,1371,1147,11487,654,1043,1195,1329,953,1332,733,630,615,5762,436,309,,5841,1207,2314,4026,,4307,725,1070,515,873,2576,2818,4928,819,668,4737,1880,1476,3072,1322,3099,2533,1205,3313,2430,1212,960,4966,5062,3994,344,1452,684,674,2539,1440,3381,2957,3006,2979,2457,1116,1355,373,1870,1433,824,136,526,164,48
2014-Jun,1381,1149,1297,1903,945,961,726,931,1038,7134,661,958,911,801,1226,1152,1280,11382,681,1000,1313,1330,961,1361,748,603,552,5538,395,293,,5323,1083,2282,3873,,4290,772,1069,489,882,2614,2808,4540,798,595,4434,1806,1496,3223,1437,3217,2243,1104,3123,2159,1254,1056,5404,4980,3914,344,1415,578,686,2633,1506,3324,2999,2851,3096,2328,1246,1392,341,1859,1397,836,138,516,194,48
2014-Jul,1863,1312,1559,2615,1112,1149,764,1403,1357,8763,867,1307,990,1102,1438,1475,1480,13229,699,1153,1401,1537,1197,1615,860,744,716,6591,554,355,,7238,1559,2996,5074,,4790,597,1374,646,1114,2479,3625,5645,989,814,5504,2058,1624,3735,1593,3824,2806,1503,3943,3061,1496,1177,5844,5770,4914,411,1552,725,790,3001,1580,3874,3559,3488,3706,2895,1432,1580,393,2444,1769,1070,176,610,236,79
2014-Aug,1550,1171,1385,2222,977,1016,671,1078,1235,7945,648,1071,865,887,1325,1389,1374,12023,651,1002,1304,1379,1074,1347,747,647,591,5956,568,374,,6817,1310,2576,4783,,5205,933,1216,590,970,3441,3260,5151,869,669,4956,1834,1487,3190,1413,3284,2668,1303,3561,2326,1309,998,5295,5076,4118,368,1429,648,680,2543,1453,3368,3027,2971,3323,2547,1241,1337,339,2102,1762,951,142,576,194,48
2014-Sep,1572,1177,1342,2213,962,973,745,1135,1220,7657,777,1067,953,889,1315,1345,1404,11685,649,1090,1287,1405,1032,1401,803,652,605,5494,505,356,,6646,1244,2570,4548,,5354,973,1158,519,880,3098,3351,5498,918,707,4926,1893,1485,3471,1457,3455,2438,1305,3602,2531,1248,990,5557,5201,4249,352,1508,761,689,2715,1582,3598,3242,3129,3329,2476,1308,1517,347,2155,1610,990,177,609,222,56
2014-Oct,1693,1198,1395,2337,1091,1080,765,1151,1225,8548,777,1195,904,953,1301,1417,1308,12709,742,1096,1304,1407,1133,1378,743,715,664,6332,554,358,,7014,1401,2868,4761,,5153,857,1299,556,991,2886,3562,5331,863,777,5039,1914,1466,3356,1418,3564,2638,1329,3695,2612,1370,1012,5247,5555,4307,378,1591,709,715,2724,1532,3720,3341,3245,3309,2734,1286,1569,392,2246,1684,979,161,577,224,72
2014-Nov,1320,1068,1225,1892,849,890,580,1015,960,7171,587,955,797,762,1130,1140,1120,10578,594,887,1133,1174,907,1230,698,558,508,5249,452,303,,5690,1130,2186,3883,,4902,740,950,464,794,2664,2773,4339,701,564,3981,1590,1263,2902,1194,2856,2169,1060,3131,2170,1080,865,4576,4583,3649,335,1243,593,556,2223,1262,3113,2657,2433,2851,2209,1024,1273,302,1835,1467,819,123,496,143,41
2014-Dec,1442,1210,1400,2062,978,1028,700,1090,1097,7544,723,1043,898,899,1254,1237,1291,11657,670,1077,1313,1416,1022,1414,771,678,618,5777,536,342,,6344,1330,2477,4504,,4834,768,1094,467,819,2591,2968,5343,819,702,4947,1970,1425,3242,1443,3428,2328,1247,3442,2360,1225,1046,5549,5226,4519,341,1456,654,681,2626,1548,3532,3236,3066,3502,2581,1420,1543,328,2123,1664,977,174,586,230,51
2015-Jan,1432,1071,1232,1923,851,979,610,958,1056,7130,623,1039,788,809,1158,1161,1082,10737,579,903,1112,1246,969,1194,757,557,526,5342,464,320,1674.0,6170,1225,2274,3982,333.0,4198,700,1080,440,880,2593,2934,4493,752,594,4370,1677,1268,2866,1221,2941,2315,1136,2989,2258,1188,875,4480,4751,3719,308,1331,583,647,2327,1365,3193,2767,2847,2762,2277,974,1295,315,1979,1607,843,126,497,191,52
2015-Feb,1268,1047,1156,1951,863,942,627,981,1060,6943,632,991,753,805,1129,1144,1026,10323,555,897,1042,1260,960,1165,704,553,563,4955,423,293,1897.0,5400,1136,2288,3697,406.0,4429,732,985,446,773,2447,2730,4445,729,584,4100,1640,1252,2909,1249,2904,2166,1027,3004,2080,1135,875,4537,4378,3679,306,1297,575,574,2302,1328,3048,2796,2583,2897,2108,1115,1209,289,1878,1479,826,132,533,197,50
2015-Mar,1450,1123,1260,2164,961,1015,718,1064,1037,7436,743,936,828,888,1235,1311,1266,11221,643,1007,1166,1371,1006,1455,777,578,589,5408,491,284,1864.0,5906,1190,2333,4083,485.0,4344,818,1046,468,819,2757,2965,5109,861,608,4936,1869,1497,3333,1398,3356,2388,1126,3340,2334,1224,1008,5447,5252,4155,361,1489,677,709,2590,1488,3509,3115,2833,3335,2386,1257,1417,377,2072,1639,980,152,554,214,71
2015-Apr,1429,1130,1295,2108,911,1067,672,1116,1117,7555,729,1053,851,797,1113,1303,1276,11701,649,972,1259,1329,1060,1328,728,592,594,6000,417,321,1922.0,5448,1201,2456,4053,432.0,4185,609,1075,462,779,2427,2789,4855,862,654,4469,1907,1425,3204,1364,3242,2257,1184,3238,2376,1264,929,5165,4991,4075,340,1347,661,681,2320,1383,3421,3018,2706,3076,2332,1177,1296,329,1970,1401,863,145,528,179,49
2015-May,1395,1095,1281,1950,909,1086,578,988,968,7536,572,993,742,855,1137,1277,1259,11269,562,926,1156,1269,907,1157,717,553,535,5570,425,284,1824.0,5465,1072,2284,3832,386.0,4097,521,900,488,784,2088,2728,4576,739,617,4538,1702,1233,3036,1228,2939,2225,1107,3246,2117,1079,923,4880,4897,3724,327,1290,609,605,2332,1377,3188,2937,2598,2972,2220,1062,1229,320,1810,1444,786,147,485,167,51
2015-Jun,1499,1305,1446,2165,1032,1127,745,1167,1195,8099,750,988,996,840,1284,1435,1457,11868,690,1120,1252,1463,999,1427,808,714,589,5786,393,268,1933.0,6033,1190,2569,4446,417.0,3978,718,981,490,778,2816,2876,5049,868,665,4711,1945,1501,3348,1529,3550,2461,1222,3578,2529,1313,1013,5672,5144,4134,330,1446,689,686,2660,1409,3510,3296,2927,3374,2445,1266,1380,371,2060,1580,1012,158,551,187,63
2015-Jul,1775,1306,1524,2426,1211,1172,764,1250,1341,9230,850,1300,964,964,1461,1517,1452,13627,717,1006,1440,1573,1191,1422,758,682,700,7012,506,364,2331.0,6958,1430,2753,4959,508.0,4494,667,1153,505,1057,2367,3398,5227,909,756,5400,2002,1707,3656,1588,3835,2715,1423,3947,2793,1460,1035,5531,5453,4587,375,1550,648,776,2833,1484,3735,3403,3287,3746,2776,1363,1494,356,2255,1726,1007,156,624,224,71
2015-Aug,1552,1249,1571,2287,1019,1058,721,1040,1162,8056,748,1024,879,931,1353,1363,1416,12556,694,1009,1247,1379,1064,1444,763,655,659,6020,498,351,2094.0,6533,1185,2518,4598,460.0,5107,889,1170,490,879,3199,3143,4825,859,642,4804,1990,1414,3469,1439,3609,2454,1211,3590,2340,1256,994,5589,4986,4105,313,1463,653,633,2634,1427,3608,3074,2682,3507,2379,1309,1437,349,2008,1675,910,152,571,210,51
